oracle,generated_summary,generated_summary_no_content
"Great customer service, tends to the customers' needs very quickly and perform very thorough and fascinating jobs. Some customers might have complaints as 100% perfection is not possible, but all in all, they perform professionally and have one of the cheapest prices available.","[ASPECTCHAIN] great,service | affordable,prices | good,quality [SUMMARY] This is a great service for replacing broken or damaged electronics. The service is excellent and the prices are affordable. The quality of the service is good and the quality is excellent. The price is very affordable and they offer a 30 day warranty.", This is a great service for replacing broken or damaged electronics. The service is excellent and the prices are affordable. The quality of the service is good and the quality is excellent. The price is very affordable and they offer a 30 day warranty.
"The repair service for fixing phones is, generally, professionally done with good customer service. There are a few times Mobile square has stumbled in the past but , overall, their services are good for the customer and reasonably priced.","[ASPECTCHAIN] great,service | affordable,prices | good,quality [SUMMARY] This is a great service for replacing broken or damaged electronics. The service is excellent and the prices are affordable. The quality of the service is good and the quality is excellent. The price is very affordable and they offer a 30 day warranty.", This is a great service for replacing broken or damaged electronics. The service is excellent and the prices are affordable. The quality of the service is good and the quality is excellent. The price is very affordable and they offer a 30 day warranty.
"The staff were professional,  knowledgeable, and had the job done as quickly as possible. Phones are fixed in 30 minutes, prices are great and service was attentive. They were recommended by a friend.","[ASPECTCHAIN] great,service | affordable,prices | good,quality [SUMMARY] This is a great service for replacing broken or damaged electronics. The service is excellent and the prices are affordable. The quality of the service is good and the quality is excellent. The price is very affordable and they offer a 30 day warranty.", This is a great service for replacing broken or damaged electronics. The service is excellent and the prices are affordable. The quality of the service is good and the quality is excellent. The price is very affordable and they offer a 30 day warranty.
"This Olive Garden is always busy because of its location, but despite that, the staff is wonderful and friendly. Expect long wait times when it gets very crowded. This place has great soups and salad, and the wine is excellent as well. The food comes fresh, hot, and in large portions.","[ASPECTCHAIN] busy,restaurant | good,food | friendly,staff | great,experience [SUMMARY] This is a busy restaurant. The food is good and the service is good. The staff is friendly and the atmosphere is great. The wait times are a bit longer than other Olive Garden locations. Overall, this is a good place to eat."," This is a busy restaurant. The food is good and the service is good. The staff is friendly and the atmosphere is great. The wait times are a bit longer than other Olive Garden locations. Overall, this is a good place to eat."
"Service is fast and the portions are well sized. Customer service is at a high level, with the host, wait staff, bartenders and managers being quick to remedy problems. Orders are fixed quickly to the customers liking if needed. Seating can sometimes take a while depending on the night. Value can be low on some items, but the flavor is usually high.","[ASPECTCHAIN] busy,restaurant | good,food | friendly,staff | great,experience [SUMMARY] This is a busy restaurant. The food is good and the service is good. The staff is friendly and the atmosphere is great. The wait times are a bit longer than other Olive Garden locations. Overall, this is a good place to eat."," This is a busy restaurant. The food is good and the service is good. The staff is friendly and the atmosphere is great. The wait times are a bit longer than other Olive Garden locations. Overall, this is a good place to eat."
"This particular branch of Olive Garden is usually very busy due to its location and this makes for longer wait times. Food tastes great and is just about as good as at other (Olive Garden) locations, but with friendlier and more impressive staff. Overall great place for a meal if one is not in too much of a hurry.","[ASPECTCHAIN] busy,restaurant | good,food | friendly,staff | great,experience [SUMMARY] This is a busy restaurant. The food is good and the service is good. The staff is friendly and the atmosphere is great. The wait times are a bit longer than other Olive Garden locations. Overall, this is a good place to eat."," This is a busy restaurant. The food is good and the service is good. The staff is friendly and the atmosphere is great. The wait times are a bit longer than other Olive Garden locations. Overall, this is a good place to eat."
By far the hidden gem with the best pizza and authentic NYC flavor and feel. Laid back atmosphere that is comfortable without being pretentious. The quality of the pizza and ingredients is always top notch! They have a large menu with several appetizers and subs that do not disappoint.,"[ASPECTCHAIN] great,pizza place | great,subs | good,quality [SUMMARY] This pizza place is one of the best in the Valley. The quality of the pizza is top notch. The subs are also very good. The crust is very well-crisp and the toppings are very good, too. Overall, this is a very well recommended pizza place."," This pizza place is one of the best in the Valley. The quality of the pizza is top notch. The subs are also very good. The crust is very well-crisp and the toppings are very good, too. Overall, this is a very well recommended pizza place."
"This pizza restaurant has been around for decades, and continues to be as well-recommended as it always has. The pizza is what they're best known for, but the subs and everything else they serve are also highly regarded,  The staff is friendly and do a good job.","[ASPECTCHAIN] great,pizza place | great,subs | good,quality [SUMMARY] This pizza place is one of the best in the Valley. The quality of the pizza is top notch. The subs are also very good. The crust is very well-crisp and the toppings are very good, too. Overall, this is a very well recommended pizza place."," This pizza place is one of the best in the Valley. The quality of the pizza is top notch. The subs are also very good. The crust is very well-crisp and the toppings are very good, too. Overall, this is a very well recommended pizza place."
"The best pizza place in Phoenix.The pizza is perfection, with a crispy crust, delicious sauce and plenty of cheese. Pizza is sold either as a whole pie or by the slice. Wings, mozzarella sticks and subs are also on the menu as just as tasty at the pizza. With a friendly staff this top notch neighborhood pizza joint.","[ASPECTCHAIN] great,pizza place | great,subs | good,quality [SUMMARY] This pizza place is one of the best in the Valley. The quality of the pizza is top notch. The subs are also very good. The crust is very well-crisp and the toppings are very good, too. Overall, this is a very well recommended pizza place."," This pizza place is one of the best in the Valley. The quality of the pizza is top notch. The subs are also very good. The crust is very well-crisp and the toppings are very good, too. Overall, this is a very well recommended pizza place."
"This American-Mexican restaurant serves good tasty good. The quality can vary, but overall the dishes are pleasing. The restaurant has great atmosphere and the staff are friendly. The service is also fast, making for a wonderful dining experience. There are very few times the food is undercooked or underwhelming.","[ASPECTCHAIN] good,food | friendly,staff | great,atmosphere [SUMMARY] This is a good food and drink restaurant. The food is basic American-Mexican combinations (burrito, enchilada, tamale for example) with very quick service. The staff is friendly and attentive and the atmosphere is great. The margaritas are great and the margarita sauce is very flavorful. Overall, this is a highly recommended place."," This is a good food and drink restaurant. The food is basic American-Mexican combinations (burrito, enchilada, tamale for example) with very quick service. The staff is friendly and attentive and the atmosphere is great. The margaritas are great and the margarita sauce is very flavorful. Overall, this is a highly recommended place."
